,log10_kcat_mean,log10_kcat_std,log10_kcat_max,log10_kcat_max_std
RXN-6021,1.7492441517718962,0.9156395189498788,3.4520797066920683,0.2947402831155789
DEOXYRIBOSE-P-ALD-RXN,1.8835412645148024,0.7346478365425145,2.54275681469933,0.3907541779627413
THREONINE-ALDOLASE-RXN,0.27184160653649897,1.0,0.2718416065364989,1.0
R00945,1.435783329398859,0.8167498021561334,2.2876203177743504,0.7411085194556253
R00945_REV,0.6989700043360189,1.0,0.6989700043360189,1.0
R02300_copy1,1.2234887845301885,0.11843985688630405,1.3091574913341657,0.017991402852234526
R02300_copy2,1.2234887845301885,0.11843985688630405,1.3096171694725791,0.017125434877997534
RXN0-1461,-2.5228787452803374,1.0,-2.5228787452803374,1.0
GLUTATHIONE-REDUCT-NADPH-RXN,2.017161154582308,0.5263293904223437,2.7176832691770296,0.2906476284253229
GLUTATHIONE-REDUCT-NADPH-RXN_REV,2.017161154582308,0.5263293904223437,2.6776864989428244,0.2913910230089372
PFK,1.7781512503836436,1.0,1.7781512503836436,1.0
TAGAKIN-RXN,1.7032101830034183,0.6305311894383667,2.2055990832913124,0.12155313562642893
RXN0-6541,1.7032101830034183,0.6305311894383667,2.206396533500074,0.12215419702196224
RXN0-2381,0.8410504832532265,0.7886763049490495,1.7184715309388348,0.2269094768367196
TRYPSYN-RXN,1.2441183847177295,0.3259038388705341,1.5493941875161368,0.2402615763425355
RXN0-2382,0.8612225724275272,0.7655906628429436,1.7440198393762238,0.1859080133328708
BRANCHED-CHAINAMINOTRANSFERLEU-RXN,1.845098040014257,1.0,1.8450980400142567,1.0
BRANCHED-CHAINAMINOTRANSFERILEU-RXN,1.6812412373755872,1.0,1.6812412373755874,1.0
BRANCHED-CHAINAMINOTRANSFERILEU-RXN_REV,1.057571181217661,0.4528187535498616,1.837913786207014,0.12329319377514525
TYROSINE-AMINOTRANSFERASE-RXN,1.6743450540207294,1.3620707437933424,3.1019420780118105,0.4797834591088389
TYROSINE-AMINOTRANSFERASE-RXN_REV,1.986101419189532,0.8399733835112942,2.2716923695833717,0.7899323351152014
PHEAMINOTRANS-RXN,1.2701026624797007,1.4383902204766568,2.7832779466345854,0.33825414454060043
PHEAMINOTRANS-RXN_REV,1.986101419189532,0.8399733835112942,2.4228875786154047,0.7174769236298876
BRANCHED-CHAINAMINOTRANSFERVAL-RXN,1.2787536009528289,1.0,1.2787536009528286,1.0
BRANCHED-CHAINAMINOTRANSFERVAL-RXN_REV,1.057571181217661,0.4528187535498616,1.8382762871704328,0.12438009245862648
SHIKIMATE-5-DEHYDROGENASE-RXN,2.2444539334119895,0.3857153852779005,2.500831380077695,0.11455162510595375
SHIKIMATE-5-DEHYDROGENASE-RXN_REV,1.6766113592288725,0.9446800098692442,2.544190532053102,0.07422621526792188
RIBOFLAVINKIN-RXN,0.27804396418867294,0.5610836085408657,0.7930124777985571,0.1934922243657272
RXN0-5187,0.2332930875831101,1.011788339957239,1.8184876041226643,0.28538574072852974
RIBOPHOSPHAT-RXN,0.0,1.0,0.19524595560292848,0.2864368473085837
RIBOFLAVIN-SYN-RXN,0.0,1.0,-0.5734887386354248,1.0
FPPSYN-RXN,0.0,1.0,-0.43044540612449134,0.1799866844988185
GPPSYN-RXN,0.0,1.0,-0.022708379610638214,0.2895741985760089
UROGENIIISYN-RXN,1.6808639180087963,1.0181060863272224,2.067744230813141,0.9417343715618252
URA-PHOSPH-RXN,1.5678374670427002,0.34014160602624394,1.9590406465439332,0.21149810714911332
URA-PHOSPH-RXN_REV,1.3184686505238339,1.2059340822936442,4.274221629735973,0.27435276614358134
THYM-PHOSPH-RXN,1.2430380486862944,1.0,1.2430380486862942,1.0
