,log10_kcat_mean,log10_kcat_std,log10_kcat_max,log10_kcat_max_std
RXN-6021,1.7492441517718962,0.9156395189498789,3.463042681661837,0.28578051808645333
DEOXYRIBOSE-P-ALD-RXN,1.8835412645148022,0.7346478365425145,2.5929544035946055,0.3197129584186888
THREONINE-ALDOLASE-RXN,0.27184160653649897,1.0,0.2718416065364989,1.0
R02300_copy1,1.2234887845301885,0.11843985688630403,1.2986651604064923,0.052213612463165526
R02300_copy2,1.2234887845301885,0.11843985688630403,1.305291191270931,0.03403817323204992
R00945,1.4357833293988593,0.8167498021561334,2.2539349416720285,0.7736963948528439
R00945_REV,0.6989700043360189,1.0,0.6989700043360189,1.0
RXN0-1461,-2.5228787452803374,1.0,-2.5228787452803374,1.0
GLUTATHIONE-REDUCT-NADPH-RXN,2.017161154582308,0.5263293904223437,2.711642096567549,0.2711021947285465
GLUTATHIONE-REDUCT-NADPH-RXN_REV,2.017161154582308,0.5263293904223437,2.7180932702839966,0.27978486788906265
PFK,1.7781512503836436,1.0,1.7781512503836436,1.0
RXN0-6541,1.7032101830034183,0.6305311894383667,2.2025885877109337,0.12888024786772032
TAGAKIN-RXN,1.7032101830034183,0.6305311894383667,2.2085610514821807,0.12136266530964646
TRYPSYN-RXN,1.2441183847177297,0.3259038388705341,1.5464544770449515,0.23793589894454167
RXN0-2381,0.8410504832532265,0.7886763049490495,1.680294946801227,0.2706795502494036
RXN0-2382,0.8612225724275272,0.7655906628429436,1.7293092295167585,0.22524810859164454
BRANCHED-CHAINAMINOTRANSFERLEU-RXN,1.845098040014257,1.0,1.8450980400142567,1.0
TYROSINE-AMINOTRANSFERASE-RXN,1.6743450540207294,1.3620707437933424,3.1583658665257506,0.46045186600097265
TYROSINE-AMINOTRANSFERASE-RXN_REV,1.986101419189532,0.8399733835112942,2.3556897079345016,0.7542942276260483
BRANCHED-CHAINAMINOTRANSFERVAL-RXN,1.2787536009528289,1.0,1.2787536009528286,1.0
BRANCHED-CHAINAMINOTRANSFERVAL-RXN_REV,1.057571181217661,0.4528187535498616,1.8542929892356628,0.09202829966647737
PHEAMINOTRANS-RXN,1.2701026624797007,1.438390220476657,2.8758456851514267,0.31334884432630866
