,dna,rna,protein
TD01GL000001,7939.593114241111,7337.715179968847,1119.5618153364626
TD01GL000002,5981.611893583789,5514.866979655786,812.9890453834112
TD01GL000003,6751.056338028239,6240.884194053322,993.1924882629093
TD01GL000004,13118.348982785217,12129.147104851656,1850.743348982789
TD01GL000005,3128.8732394366157,2891.784037558696,424.17840375586906
TD01GL000006,4314.984350547736,3973.4350547731087,629.3427230046947
TD01GL000007,11122.37871674471,10347.261345853172,1532.2769953051668
TD01GL000008,5309.4287949921945,4932.746478873301,784.037558685446
TD01GL000009,5194.87480438188,4789.788732394421,747.6134585289511
TD01GL000010,5653.912363067325,5218.466353677693,798.7871674491383
TD01GL000011,8856.064162754346,8194.405320813958,1268.7793427230047
TD01GL000012,3846.08763693271,3522.143974960897,577.5039123630673
TD01GL000013,6073.356807511793,5595.109546165971,903.4428794992169
TD01GL000014,4101.956181533651,3765.4929577465005,598.9827856025041
TD01GL000015,5831.416275430411,5352.621283255157,839.8278560250377
TD01GL000016,4001.9170579029765,3712.5586854460294,592.6056338028169
TD01GL000017,5917.488262910842,5488.302034428879,824.1001564945217
TD01GL000018,7739.319248826389,7172.574334898422,1023.3176838810622
TD01GL000019,6942.057902973462,6429.92957746491,984.8982785602473
TD01GL000020,3666.7057902973397,3402.934272300488,490.8841940532089
TD01GL000021,8727.973395931203,8060.837245696572,1232.9812206572751
TD01GL0RAST1,539.514866979656,498.5915492957761,75.93896713615041
TD01GL000022,3400.352112676056,3150.7433489828,509.07668231611973
TD01GL000023,1745.6964006259734,1634.9765258215941,243.30985915492988
TD01GL000024,3125.0782472613428,2905.281690140854,431.0250391236313
TD01GL000025,7242.957746478961,6721.830985915621,993.6228482003111
TD01GL000026,6735.093896713679,6242.762128325617,922.5743348982779
TD01GL000027,6786.424100156568,6298.787167449251,931.9640062597805
TD01GL000028,7017.057902973469,6533.568075117499,940.2973395931133
TD01GL000029,6138.419405320859,5751.017214397588,836.9718309859146
TD01GL000030,8390.375586854536,7810.093896713787,1151.838810641626
TD01GL000031,2338.771517996863,2172.4960876369305,314.71048513302077
TD01GL000032,2748.004694835677,2559.350547730835,385.6807511737094
TD01GL000033,4073.2003129890454,3793.1533646322573,550.4694835680757
TD01GL000034,696.2441314554004,651.6431924882659,114.63223787167452
TD01GL000035,3813.1846635367738,3542.136150234764,522.2613458528955
TD01GL000036,5244.679186228519,4858.607198748096,749.6870109546165
TD01GL000037,3007.863849765256,2779.1471048513376,416.39280125195694
TD01GL000038,2469.600938967131,2287.3630672926433,339.8278560250395
TD01GL000039,5543.466353677659,5128.129890453898,788.7715179968702
TD01GL000040,720.3834115805959,653.9514866979683,121.51799687010957
TD01GL000041,8335.015649452365,7676.564945227081,1205.0469483568081
TD01GL000042,7282.5508607199745,6716.197183098718,1048.2394366197168
TD01GL000043,4898.474178403775,4511.071987480482,743.7010954616582
TD01GL000044,2030.3990610328588,1895.4225352112644,261.50234741784055
TD01GL000045,3809.389671361504,3516.9796557120676,542.2535211267615
TD01GL000046,1760.5242566510117,1648.7871674491378,200.2738654147106
TD01GL000047,1828.8341158059427,1695.4225352112662,293.7010954616596
TD01GL000048,5725.156494522728,5332.668231611974,804.1862284820033
TD01GL000049,6516.43192488269,6037.323943662071,850.3912363067279
TD01GL000050,5610.446009389714,5196.830985915559,776.1737089201876
TD01GL000051,3862.402190923321,3556.4553990610493,546.1267605633807
TD01GL000052,1911.580594679184,1745.3051643192466,283.99843505477315
TD01GL000053,10710.915492957585,9965.8450704228,1507.8247261345866
TD01GL000054,6587.8716744914545,6102.816901408556,911.1893583724552
TD01GL0RAST2,952.2300469483592,882.8247261345889,148.78716744913933
TD01GL000055,952.2300469483592,882.8247261345889,148.78716744913933
TD01GL000056,8638.732394366252,8051.877934272483,1214.6322378716727
TD01GL000057,5035.798122065756,4615.688575899886,772.1830985915492
TD01GL000058,4546.9092331768525,4204.420970266068,640.6494522691706
TD01GL000059,11843.544600938689,10867.72300469511,1728.2472613458556
TD01GL000060,5280.672926447607,4887.089201877992,713.5758998435055
TD01GL000061,801.134585289516,727.2691705790322,136.8935837245698
TD01GL000062,1356.6510172143965,1267.370892018781,198.7089201877936
TD01GL000063,11003.0516431923,10229.733959311696,1576.1345852895154
TD01GL000064,7291.118935837333,6657.629107981333,1084.1549295774641
TD01GL000065,2908.920187793426,2682.4726134585344,398.5133020344294
TD01GL000066,3637.1283255086123,3323.435054773098,555.9467918622848
TD01GL000067,7443.857589984424,6919.209702660552,1047.5743348982762
TD01GL000068,10349.765258215866,9597.652582159863,1470.3834115805967
TD01GL000069,4157.042253521132,3860.9546165884412,583.3333333333334
TD01GL000070,6258.959311424161,5769.992175273954,872.3395931142405
TD01GL000071,720.3834115805959,653.9514866979683,121.51799687010957
TD01GL000072,718.3881064162764,658.0594679186245,105.79029733959315
TD01GL000073,4072.809076682319,3763.2629107981443,562.7934272300473
TD01GL000074,2426.9170579029687,2259.859154929576,328.95148669796583
TD01GL000075,1451.3693270735532,1350.5868544600967,180.35993740219098
TD01GL000076,3861.8153364632244,3571.5962441314755,534.0766823161192
TD01GL000077,850.6651017214413,781.0250391236336,135.25039123630697
