metacyc	kegg
CPD-14353	C12367
RENILLA-LUCIFERIN	C00982
CPD-8505	C01601
CPD-11587	C10314
CPD-14557	C20937
CPD-9720	C21526
CPD-14556	C10331
12-OXO-CIS-9-DODECENOATE	C16311
CPD-16677	C12371
CPD-3617	C01571
CPD-14546	C20382
CPD-7222	C03221
CPD-14535	D01905
CPD-18054	C19243
CPD-15533	C06801
DODECANOATE	C02679
CPD0-2108	C05276
12-OXO-TRANS-10-DODECENOATE	C16309
CPD-9726	D00100
CPD-648	C03742
T2-DECENOYL-COA	C05275
CPD-195	C06423
THF	C00101
CPD-1301	C04144
CPD0-2121	C05271
ALPHA-METHYL-5-ALPHA-ERGOSTA	C11508
HEXANOATE	C01585
CPD-8636	C12088
DIHYDROFOLATE	C00415
CPD-8677	C14827
CPD-12424	C19680
13-HYDROPEROXYOCTADECA-911-DIENOATE	C04717
CPD-15952	C14592
CPD0-2064	C07338
METHYL-THMPT	C04488
CPD-18996	C14704
CPD-15936	C12366
CPD-10789	C05927
CPD-18241	C17671
METHYLENETETRAHYDROMETHANOPTERIN	C04377
FORMYL-THMPT	C01274
METHENYLTETRAHYDROMETHANOPTERIN	C04330
CPD-0	C20462
CPD-9245	C08362
CPD-14401	C20431
CPD-14400	C20430
TETRACOSANOATE	C08320
CPD-18207	C10306
CPD-19641	D05283
D-GLUCARATE	C00818
CPD0-1264	C08278
HYDROXY-ETC-METHYLPYRIMIDINIUM	C04908
CPD-10670	C02678
CPD-330	C01115
CPD-7425	C05777
D-GALACTARATE	C00879
O-SINAPOYLGLUCAROLACTONE	C03526
GLC-D-LACTONE	C00198
CPD-6862	C02752
CPD-9663	C17691
CPD-12674	D09640
CPD-14779	C02669
CPD-8951	D01186
RETINOATE	C00777
CPD-19866	D04028
CPD-13550	C19962
SUCROSE-6P	C02591
CPD-20073	C21797
CPD-8283	C13877
CPD-13524	C00473
PMS	C00200
CPD-882	C00899
CPD-363	C03064
CPD-14330	C05919
CPD-14318	C21133
L-THREONATE	C01620
CPD-881	C02110
CPD-14304	C20320
CPD-633	C00628
CPD-10819	C06313
COUMARATE	C00811
CPD-7877	C08392
CPD-9001	C15989
CPD-5881	C15522
CPD-7872	C08387
TIRON	C11159
CPD-7871	C08381
6-PYRUVOYL-5678-TETRAHYDROPTERIN	C03684
CPD0-2101	C21007
ETOH	C00469
BUTANOL	C06142
CPD-19640	D03945
METOH	C00132
6-LACTOYL-5678-TETRAHYDROPTERIN	C04244
PROPANOL	C05979
THMPT	C01217
CPD-14155	C17583
AMINO-ETC-METHYLPYRIMIDINIUM	C04905
CPD-290	C06321
CPD-14151	C01014
TOLUENECISDHDIOL	C04592
L-GAMMA-GLUTAMYLCYSTEINE	C00669
CPD-407	C03738
CPD-401	C01262
BENZYL-ALCOHOL	C00556
3-METHYLBENZYL-ALCOHOL	C07216
CPD-15328	D08131
XANTHOSINE	C01762
4-METHYLBENZYL-ALCOHOL	C06757
GUANOSINE	C00387
CPD-8157	C13875
GLYCEROL	C00116
INOSINE	C00294
CPD-18923	C21296
SIROHYDROCHLORIN	C05778
TESTOSTERONE	C00535
CPD-14126	C17582
17-BETA-HYDROXY-5ALPHA-ANDROSTAN-3-O	C03917
CPD-10376	C11689
CPD-21445	C10920
CORTICOSTERONE	C02140
CPD-14119	C16359
CORTISOL	C00735
ALDOSTERONE	C01780
PROGESTERONE	C00410
ESTRONE	C00468
CPD-352	C00951
CPD-276	C02633
CPD-13927	C20232
CPD-15601	C16500
ECDYSONE	C00477
CPD-14102	C20441
CPD-13359	C04904
CPD-14100	C19567
CPD-15707	C08835
HSCN	C01755
CPD1G-2	C06717
3-UREIDO-PROPIONATE	C02642
CPD-7727	C15970
CPD-7234	C15514
CPD-7725	C09707
DITHIOTHREITOL	C00265
CPD-7726	C15971
CPD-18811	C09875
CPD-7299	C15607
CPD-18812	C11391
CPD-13858	C20163
GLUTATHIONE	C00051
CPD-8809	C20159
CPD-14082	C20381
CPD-9006	C16141
CPD-15320	C20651
CPD-8769	C09877
CPD-8768	C11392
CPD-239	C01678
CPD-8758	C19742
CPD-14200	C09649
5-UREIDO-4-IMIDAZOLE_CARBOXYLATE	C05515
CPD-7106	C10695
CPD0-2338	C20231
CPD-389	C00802
CPD-5846	C04840
CPD-15321	C20639
CPD-4577	C15808
CPD-7873	D01924
CPD-1091	C00603
CPD-7875	D05097
CPD-7845	D03884
CPD-14000	C20221
CPD-16004	C16873
CPD-5821	C12248
Z-2-2-FURYL-3-5-NITRO-2-FURYLACRYL	C04622
TETRANITROMETHANE	C19300
S-24-DINITROPHENYLGLUTATHIONE	C11175
PARATHION	C06604
